"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R25","R0805","-670mil","2160mil","-670mil","2160mil","-670mil","2197mil","T","270.00","2.49k 1%"
"R24","R0805","-820mil","2120mil","-820mil","2120mil","-783mil","2120mil","T","180.00","7.50k 1%"
"R12","R0805","494mil","2306mil","494mil","2306mil","494mil","2343mil","T","270.00","499 1%"
"R11","R0805","290mil","2101mil","290mil","2101mil","290mil","2064mil","T","90.00","10.0k"
"R9","R0805","-2165mil","1450mil","-2165mil","1450mil","-2165mil","1487mil","T","270.00","3.16K"
"R7","R0805","-2165mil","1620mil","-2165mil","1620mil","-2165mil","1657mil","T","270.00","1.0k 1%"
"C37","C0805","-560mil","2160mil","-560mil","2160mil","-560mil","2123mil","T","90.00",".1uF"
"C24","C0805","494mil","2116mil","494mil","2116mil","494mil","2149.465mil","T","270.00",".1uF"
"C17","C0805","190mil","2311mil","190mil","2311mil","190mil","2348mil","T","270.00",".1uF"
"C15","R1206","290mil","2291mil","290mil","2291mil","290mil","2346mil","T","270.00","1uF"
"C13","C0805","-860mil","2595mil","-860mil","2595mil","-860mil","2558mil","T","90.00",".1uF"
"C12","C0805","-2165mil","1790mil","-2165mil","1790mil","-2165mil","1753mil","T","90.00",".01uF"
"C10","C0805","-2015mil","1325mil","-2015mil","1325mil","-1978mil","1325mil","T","180.00",".1uF"
"C6","C0805","-126mil","2586mil","-126mil","2586mil","-126mil","2623mil","T","270.00",".1uF"
"R112","R0805","2420mil","-2600mil","2420mil","-2600mil","2457mil","-2600mil","T","180.00","10.0k"
"R128","R0805","130mil","1840mil","130mil","1840mil","130mil","1803mil","T","90.00","3.16K"
"R129","R0805","710mil","1840mil","710mil","1840mil","710mil","1803mil","T","90.00","20.0k"
"R130","R0805","2530mil","1950mil","2530mil","1950mil","2493mil","1950mil","T","360.00","10.0k"
"Y1","XTSL\CSM-7","2180mil","2380mil","2180mil","2380mil","2367.008mil","2380mil","T","180.00","8.192MHz"
"U2","TQFP-80","2050mil","1900mil","2050mil","1900mil","1862.992mil","1640.158mil","T","90.00","dsPIC30F5013-20I/PT"
"C3","C0805","2530mil","1750mil","2530mil","1750mil","2493mil","1750mil","T","360.00",".1uF"
"C16","C0805","1650mil","2260mil","1650mil","2260mil","1650mil","2297mil","T","270.00","18pF"
"C20","C0805","2590mil","2310mil","2590mil","2310mil","2553mil","2310mil","T","360.00","18pF"
"R4","R0805","1150mil","2590mil","1150mil","2590mil","1187mil","2590mil","T","180.00","10.0k"
"R8","R0805","1750mil","2260mil","1750mil","2260mil","1750mil","2223mil","T","90.00","0"
"C2","C4X5.8","1440mil","1950mil","1440mil","1950mil","1440mil","1880mil","T","180.00","10uF"
"Q2","SO8","1700mil","650mil","1700mil","650mil","1802.362mil","575mil","T","90.00","FDS8884"
"Q1","SO8","1700mil","280mil","1700mil","280mil","1802.362mil","205mil","T","90.00","FDS8884"
"R30","R0805","390mil","2510mil","390mil","2510mil","390mil","2547mil","T","270.00","100K"
"U13","SOT23-5","550mil","2490mil","550mil","2490mil","512.598mil","2447.677mil","T","360.00","SN74AHC1G125DBVR"

